DATE,PCE_PCH
1959-04-01,1.94959
1959-07-01,1.65874
1959-10-01,0.66514
1960-01-01,1.08404
1960-04-01,1.78736
1960-07-01,-0.02007
1960-10-01,0.57206
1961-01-01,0.14969
1961-04-01,1.47469
1961-07-01,0.85428
1961-10-01,2.11274
1962-01-01,1.50648
1962-04-01,1.57806
1962-07-01,1.08193
1962-10-01,1.71073
1963-01-01,0.98939
1963-04-01,1.11329
1963-07-01,1.84092
1963-10-01,1.20221
1964-01-01,2.45278
1964-04-01,1.98532
1964-07-01,2.17569
1964-10-01,0.62440
1965-01-01,2.55370
1965-04-01,1.61353
1965-07-01,2.09940
1965-10-01,3.13294
1966-01-01,2.25477
1966-04-01,1.07062
1966-07-01,1.92915
1966-10-01,1.18376
1967-01-01,0.87063
1967-04-01,1.84086
1967-07-01,1.44342
1967-10-01,1.47510
1968-01-01,3.47977
1968-04-01,2.56713
1968-07-01,2.92710
1968-10-01,1.55440
1969-01-01,2.10459
1969-04-01,1.93061
1969-07-01,1.71021
1969-10-01,1.97174
1970-01-01,1.78322
1970-04-01,1.56728
1970-07-01,1.86003
1970-10-01,1.02015
1971-01-01,2.87806
1971-04-01,2.07117
1971-07-01,1.78391
1971-10-01,2.28175
1972-01-01,2.39250
1972-04-01,2.48996
1972-07-01,2.42947
1972-10-01,3.18824
1973-01-01,3.06475
1973-04-01,1.87871
1973-07-01,2.18115
1973-10-01,1.75037
1974-01-01,2.05592
1974-04-01,3.19928
1974-07-01,3.13632
1974-10-01,1.03238
1975-01-01,2.72487
1975-04-01,2.87928
1975-07-01,3.31831
1975-10-01,2.77566
1976-01-01,3.12500
1976-04-01,1.76893
1976-07-01,2.59104
1976-10-01,2.90243
1977-01-01,2.99947
1977-04-01,2.26348
1977-07-01,2.46019
1977-10-01,2.94506
1978-01-01,2.20662
1978-04-01,4.23672
1978-07-01,2.18459
1978-10-01,2.71107
1979-01-01,2.41674
1979-04-01,2.66951
1979-07-01,3.48178
1979-10-01,2.68012
1980-01-01,2.85386
1980-04-01,0.14099
1980-07-01,3.46689
1980-10-01,3.85909
1981-01-01,2.93871
1981-04-01,1.68991
1981-07-01,2.11205
1981-10-01,0.83586
1982-01-01,2.01070
1982-04-01,1.26605
1982-07-01,2.25531
1982-10-01,2.87363
1983-01-01,1.81926
1983-04-01,2.96774
1983-07-01,3.13264
1983-10-01,2.26734
1984-01-01,1.92483
1984-04-01,2.38611
1984-07-01,1.52135
1984-10-01,1.91895
1985-01-01,2.89904
1985-04-01,1.73493
1985-07-01,2.69971
1985-10-01,0.91619
1986-01-01,1.59147
1986-04-01,0.98573
1986-07-01,2.30525
1986-10-01,1.22035
1987-01-01,1.03969
1987-04-01,2.34065
1987-07-01,2.09607
1987-10-01,1.07784
1988-01-01,2.56855
1988-04-01,1.85136
1988-07-01,2.13264
1988-10-01,2.16048
1989-01-01,1.61982
1989-04-01,1.82322
1989-07-01,1.56452
1989-10-01,1.22735
1990-01-01,2.30543
1990-04-01,1.21725
1990-07-01,1.67220
1990-10-01,0.55199
1991-01-01,0.14564
1991-04-01,1.37771
1991-07-01,1.17989
1991-10-01,0.67367
1992-01-01,2.50915
1992-04-01,1.34784
1992-07-01,1.71653
1992-10-01,1.89733
1993-01-01,0.98208
1993-04-01,1.58869
1993-07-01,1.55177
1993-10-01,1.45972
1994-01-01,1.50608
1994-04-01,1.34019
1994-07-01,1.48546
1994-10-01,1.55630
1995-01-01,0.74102
1995-04-01,1.46291
1995-07-01,1.31885
1995-10-01,1.14030
1996-01-01,1.48217
1996-04-01,1.75288
1996-07-01,1.03374
1996-10-01,1.48387
1997-01-01,1.50078
1997-04-01,0.70187
1997-07-01,1.97274
1997-10-01,1.51397
1998-01-01,1.01878
1998-04-01,1.94419
1998-07-01,1.61678
1998-10-01,1.71029
1999-01-01,1.22424
1999-04-01,2.10749
1999-07-01,1.68041
1999-10-01,2.07882
2000-01-01,2.33801
2000-04-01,1.41528
2000-07-01,1.61008
2000-10-01,1.44624
2001-01-01,1.10861
2001-04-01,0.67093
2001-07-01,0.39902
2001-10-01,1.65433
2002-01-01,0.42343
2002-04-01,1.25016
2002-07-01,1.22013
2002-10-01,1.02517
2003-01-01,1.26010
2003-04-01,1.24662
2003-07-01,2.08141
2003-10-01,1.18315
2004-01-01,1.70974
2004-04-01,1.22172
2004-07-01,1.67217
2004-10-01,1.99598
2005-01-01,1.21992
2005-04-01,1.74701
2005-07-01,1.91891
2005-10-01,0.98292
2006-01-01,1.61804
2006-04-01,1.40107
2006-07-01,1.36690
2006-10-01,0.78649
2007-01-01,1.53560
2007-04-01,1.11365
2007-07-01,1.23604
2007-10-01,1.41622
2008-01-01,0.67759
2008-04-01,1.25377
2008-07-01,0.28793
2008-10-01,-2.48186
2009-01-01,-0.92831
2009-04-01,-0.09645
2009-07-01,1.36556
2009-10-01,0.66000
2010-01-01,0.96785
2010-04-01,1.05228
2010-07-01,0.90745
2010-10-01,1.25784
2011-01-01,1.22591
2011-04-01,1.08762
2011-07-01,0.76829
2011-10-01,0.50333
2012-01-01,1.38894
2012-04-01,0.41730
2012-07-01,0.49371
2012-10-01,0.96118
2013-01-01,0.89501
2013-04-01,0.22517
2013-07-01,0.78145
2013-10-01,1.22299
2014-01-01,0.86586
2014-04-01,1.43368
2014-07-01,1.26973
2014-10-01,1.00159
2015-01-01,0.24971
2015-04-01,1.16518
2015-07-01,1.00616
2015-10-01,0.40331
2016-01-01,0.78672
2016-04-01,1.13885
2016-07-01,0.96302
2016-10-01,0.95984
2017-01-01,1.30342
2017-04-01,0.64805
2017-07-01,0.96188
2017-10-01,1.73751
2018-01-01,1.38342
2018-04-01,1.26828
2018-07-01,0.99609
2018-10-01,0.81589
2019-01-01,0.30466
2019-04-01,1.25737
2019-07-01,1.10585
2019-10-01,0.94530
2020-01-01,-1.22374
2020-04-01,-9.62870
2020-07-01,10.26046
2020-10-01,1.37144
2021-01-01,3.73941
2021-04-01,4.50737
2021-07-01,2.11064
2021-10-01,2.29574
2022-01-01,2.15987
2022-04-01,2.29099
2022-07-01,1.62965
2022-10-01,1.18131
2023-01-01,.
