DATE,PCE
2002-01-01,7217.7333333333333333
2002-04-01,7307.9666666666666667
2002-07-01,7397.1333333333333333
2002-10-01,7472.9666666666666667
2003-01-01,7567.1333333333333333
2003-04-01,7661.4666666666666667
2003-07-01,7820.9333333333333333
2003-10-01,7913.4666666666666667
2004-01-01,8048.7666666666666667
2004-04-01,8147.1000000000000000
2004-07-01,8283.3333333333333333
2004-10-01,8448.6666666666666667
2005-01-01,8551.7333333333333333
2005-04-01,8701.1333333333333333
2005-07-01,8868.1000000000000000
2005-10-01,8955.2666666666666667
2006-01-01,9100.1666666666666667
2006-04-01,9227.6666666666666667
2006-07-01,9353.8000000000000000
2006-10-01,9427.3666666666666667
2007-01-01,9572.1333333333333333
2007-04-01,9678.7333333333333333
2007-07-01,9798.3666666666666667
2007-10-01,9937.1333333333333333
2008-01-01,10004.4666666666666667
2008-04-01,10129.9000000000000000
2008-07-01,10159.0666666666666667
2008-10-01,9906.9333333333333333
2009-01-01,9814.9666666666666667
2009-04-01,9805.5000000000000000
2009-07-01,9939.4000000000000000
2009-10-01,10005.0000000000000000
2010-01-01,10101.8333333333333333
2010-04-01,10208.1333333333333333
2010-07-01,10300.7666666666666667
2010-10-01,10430.3333333333333333
2011-01-01,10558.2000000000000000
2011-04-01,10673.0333333333333333
2011-07-01,10755.0333333333333333
2011-10-01,10809.1666666666666667
2012-01-01,10959.3000000000000000
2012-04-01,11005.0333333333333333
2012-07-01,11059.3666666666666667
2012-10-01,11165.6666666666666667
2013-01-01,11265.6000000000000000
2013-04-01,11290.9666666666666667
2013-07-01,11379.2000000000000000
2013-10-01,11518.3666666666666667
2014-01-01,11618.1000000000000000
2014-04-01,11784.6666666666666667
2014-07-01,11934.3000000000000000
2014-10-01,12053.8333333333333333
2015-01-01,12083.9333333333333333
2015-04-01,12224.7333333333333333
2015-07-01,12347.7333333333333333
2015-10-01,12397.5333333333333333
2016-01-01,12495.0666666666666667
2016-04-01,12637.3666666666666667
2016-07-01,12759.0666666666666667
2016-10-01,12881.5333333333333333
2017-01-01,13049.4333333333333333
2017-04-01,13134.0000000000000000
2017-07-01,13260.3333333333333333
2017-10-01,13490.733333333333
2018-01-01,13677.366666666667
2018-04-01,13850.833333333333
2018-07-01,13988.800000000000
2018-10-01,14102.933333333333
2019-01-01,14145.900000000000
2019-04-01,14323.766666666667
2019-07-01,14482.166666666667
2019-10-01,14619.066666666667
2020-01-01,14440.166666666667
2020-04-01,13049.7666666666666667
2020-07-01,14388.733333333333
2020-10-01,14586.066666666667
2021-01-01,15131.500000000000
2021-04-01,15813.533333333333
2021-07-01,16147.300000000000
2021-10-01,16518.000000000000
2022-01-01,16874.766666666667
2022-04-01,17261.366666666667
2022-07-01,17542.666666666667
2022-10-01,17749.900000000000
